"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"AGL ENERGY LIMITED",AGK,"Utilities"
"ALESCO CORPORATION LIMITED",ALS,"Capital Goods"
"ALUMINA LIMITED",AWC,"Materials"
"AMCOR LIMITED",AMC,"Materials"
"AMP LIMITED",AMP,"Insurance"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"APA GROUP",APA,"Utilities"
"APN NEWS & MEDIA LIMITED",APN,"Media"
"AQUARIUS PLATINUM LIMITED",AQP,"Materials"
"AQUILA RESOURCES LIMITED",AQA,"Energy"
"ARDENT LEISURE GROUP",AAD,"Real Estate"
"ARISTOCRAT LEISURE LIMITED",ALL,"Consumer Services"
"ASCIANO LIMITED",AIO,"Transportation"
"ASX LIMITED",ASX,"Diversified Financials"
"ATLAS IRON LIMITED",AGO,"Materials"
"AUSENCO LIMITED",AAX,"Capital Goods"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIAN INFRASTRUCTURE FUND",AIX,"Transportation"
"AUSTRALAND PROPERTY GROUP",ALZ,"Real Estate"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food, Beverage & Tobacco"
"AWE LIMITED",AWE,"Energy"
"AXG MINING LIMITED",AXC,"Materials"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BEACH ENERGY LIMITED",BPT,"Energy"
"BENDIGO AND ADELAIDE BANK LIMITED",BEN,"Banks"
"BHP BILLITON LIMITED",BHP,"Materials"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BIOTA HOLDINGS LIMITED",BTA,"Pharmaceuticals, Biotechnology & Life Sciences"